ID,Name,Age,100s,50s,6s,Balls,Balls Faced,Bat_Average,Bowl_Strike_rate,Economy_Rate,Innings,Maidens,Overs,Runs,Wickets,Ratings
551,Rawl N Lewis,44,71,0,10,1011,367,18.19,52.27,5.13,186,0,151,67,647,163
552,Brendon P Julian,48,137,0,6,1072,250,13.18,52.09,5.22,24,2308,184,291,100,169
553,Sohag Gazi,27,130,0,4,1016,213,15.33,41.77,4.71,385,7,63,360,50,178
554,William F Stelling,49,88,0,2,0,272,30,31.77,4.87,6,841,305,101,75,188
555,Mark R J Watt,22,9,0,3,1039,170,16.25,42.73,4.42,598,513,89,13,55,162
556,Sanjeev K Sharma,53,39,0,0,936,135,10,44.5,4.98,805,171,214,0,361,114
557,Elijah Otieno,31,148,0,0,893,136,4.9,43.36,5.83,259,916,204,124,177,64
558,Meyrick W Pringle,52,70,0,0,685,56,9.6,39.55,4.17,282,1068,326,202,354,161
559,Dilip R Doshi,71,6,0,0,796,20,3,36,3.97,4,838,190,197,14,79
560,Wasim Raja,23,145,2,11,926,1168,22.34,49.33,3.98,380,1017,474,912,228,169
561,Craig Neil Evans,49,135,2,16,850,1006,18.19,45.9,5.28,648,334,113,761,127,172
562,Anthony O Suji,43,104,1,3,1453,977,12.97,61.67,5.44,563,844,604,684,31,109
563,Michael H Yardy,38,2,2,1,1381,0,0,0,0,0,0,0,0,30,149
564,David H Brain,54,104,0,2,946,0,0,0,0,0,0,0,0,302,124
565,Ngonidzashe B Mahwire,36,119,0,2,835,0,0,0,0,0,0,0,0,461,101
566,Alan C Dawson,49,34,0,1,894,0,0,0,0,0,0,0,0,426,219
567,Wellington Pedzisai Masakadza,25,83,0,0,860,0,0,0,0,0,0,0,0,17,79
568,Pragyan P Ojha,32,38,0,0,731,0,0,0,0,0,0,0,0,180,118
569,Jacob T Ball,27,73,0,0,1050,49,9.5,45.1,6.21,204,335,109,227,103,139
570,Ranaweera Mudiyanselage Shaminda Eranga,32,75,0,0,1050,64,11.33,34.1,5.75,357,1330,9,296,104,112
571,Mohsin Kamal,55,118,0,0,920,40,9,41.95,5.18,130,100,100,112,80,123
572,Mornantau Hayward,41,4,0,0,865,28,3,47.29,5.18,39,709,114,158,178,65
573,Al-Amin Hossain,29,81,0,0,567,20,2,28.71,5.2,379,925,456,29,272,40
574,Ajaysinhji Jadeja,48,145,30,85,1230,7677,37.48,62.3,5.27,85,70,253,5619,359,311
575,Joseph Edward Root,28,126,29,40,1221,5871,50.9,67.1,5.81,401,1466,275,5273,329,379
576,Shoaib Mohammad,57,54,8,2,735,2492,24.4,45.95,4.73,362,971,3,1314,88,161
577,Dermot A Reeve,55,34,0,0,1078,389,24.25,57.35,4.29,328,285,9,480,93,173
578,Daniel T Christian,35,142,0,3,861,307,21,36.35,4.91,503,999,39,371,166,195
579,Stuart T R Binny,34,7,1,5,591,246,28.75,24.5,5.38,102,890,188,265,200,230
580,Nehemiah O Perry,50,124,1,0,941,340,26.5,47.3,4.97,716,765,242,547,104,158
581,Donald T Tiripano,30,138,0,1,761,344,15.31,45.1,5.89,250,2128,141,0,329,125
582,Robert M L Taylor,29,95,0,3,784,172,14,35.65,5.19,130,472,76,263,204,177
583,Tendai S Chisoro,31,17,0,3,821,217,16.75,38.4,4.34,303,1304,278,66,94,139
584,Rashid Khan,59,17,0,0,1455,173,13.75,70.7,3.92,290,1250,194,309,182,128
585,Kabir Ali,38,63,0,1,613,108,15.5,33.65,6.08,320,513,485,45,64,175
586,Ross T Lyons,34,129,0,0,1052,147,22.5,54.65,4.95,302,296,219,80,67,143
587,Maxwell Henry Norman Walker,28,63,0,0,1027,170,9.88,50.3,3.26,62,1234,101,217,27,98
588,Neville Madziva,27,28,0,0,584,133,6.89,26,5.99,562,747,56,117,113,94
589,Dayle R Hadlee,71,92,0,0,446,85,8,31.4,3.48,265,375,373,383,278,96
590,Mushfiqur Rahman,39,68,0,1,1400,690,16.36,70.11,4.43,165,1306,109,198,23,111
591,Tanwir Afzal,30,51,1,18,700,253,18.13,44.84,4.23,165,1760,578,457,431,230
592,Anthony W Greig,29,12,0,3,963,378,16.81,48.21,4.05,172,1307,189,171,165,151
593,Trevor M Chappell,66,136,0,0,645,365,17.62,38.74,4.39,648,154,56,353,270,144
594,Chad A Soper,27,134,0,1,498,284,15.8,28.68,5.38,592,141,460,197,220,132
595,Yasir Shah,32,82,0,1,878,114,17,50.05,5.09,165,683,386,86,241,172
596,Pathira Vasan Dushmantha Chameera,27,85,0,0,887,150,13.14,47.11,5.34,370,44,51,81,140,122
597,Athanasios J Traicos,71,40,0,0,1307,0,11,80.21,3.89,199,7,193,124,109,82
598,Mohammad Sheikh,38,124,0,0,713,123,6.8,40.95,4.82,449,1370,134,181,112,96
599,Vanburn A Holder,73,29,0,2,613,85,12.8,35.84,4,183,925,57,18,128,151
600,Robin D Jackman,73,77,0,0,617,93,6.75,45.95,4.11,657,1366,81,37,444,104
601,Brian J McKechnie,65,15,0,0,712,145,13.5,43.05,3.63,400,1131,336,136,526,89
602,Geoffrey G Arnold,74,108,0,0,725,75,16,37.58,2.85,111,128,267,54,78,146
603,John N Maguire,62,83,0,0,1131,71,7,53.11,4.57,42,481,125,144,252,101
604,Dhawal S Kulkarni,30,29,0,1,465,28,10.52,31.47,5.1,301,613,49,124,177,179
605,Shahid Nazir,41,8,0,0,657,43,25,42.63,4.81,68,1490,120,191,347,148
606,Bradley Thomas James Wheal,22,146,0,0,334,31,5.33,30.47,0,253,213,83,131,392,97
607,Shaheen Shah Afridi,18,71,0,1,370,28,15,23.95,4.76,373,102,180,120,46,126
608,Philip Clive Roderick Tufnell,52,9,0,0,1383,31,15,53.68,4.11,166,168,349,23,273,104
609,Mohammad Akram,44,142,0,0,902,34,7,52.05,4.79,341,354,226,162,573,69
610,Panagodage D R L Perera,42,91,0,0,827,18,1.6,46.74,5.54,507,566,372,28,181,66
611,Graeme C Smith,38,75,47,44,1042,8648,37.98,57,5.56,220,555,31,7105,58,376
612,Mohammad Ashraful,34,62,20,29,868,4948,22.23,38.72,5.69,392,1058,38,3375,93,242
613,Kepler Christoffel Wessels,61,44,26,2,786,6090,34.36,41.61,5.34,93,1035,153,3714,51,241
614,David J Hussey,41,130,14,29,874,1980,32.65,44.56,5.22,93,347,232,1751,nan,258
615,Adrian P Kuiper,59,58,3,11,324,662,33.69,32.67,5.29,458,158,139,593,0,221
616,Mahuru D Dai,34,56,3,5,949,585,28.31,53,4.25,186,607,65,507,369,189
617,Colin de Grandhomme,32,10,1,22,947,401,29.53,54.78,5.05,317,1946,307,465,227,241
618,Ali H Omarshah,59,26,1,2,1382,0,16.81,59.83,4.52,262,561,477,560,382,115
619,Anwar Ali,31,40,0,7,584,367,29.18,51.5,6.11,574,2652,115,442,23,200
620,Enamul Haque,53,74,0,0,1010,479,11.24,68.78,5.25,16,447,3,186,132,83
621,Mahendra V Nagamootoo,43,115,0,1,1005,270,13.5,66.06,5.04,295,5,173,110,348,107
622,Laurie R Williams,50,140,0,0,479,186,11.27,36.61,5.06,296,1370,236,96,118,129
623,Faheem Ashraf,25,43,0,5,682,140,11.56,37.5,4.49,127,814,378,145,344,144
624,Bernard D Julien,68,57,0,0,949,148,14.33,43.22,3.57,179,931,155,102,253,129
625,Thomas Kevin Curran,23,69,0,2,500,65,23.67,30.94,6,267,2427,56,117,134,232
626,Nathan Michael Lyon,31,22,0,2,0,64,20.67,52.33,4.91,4,492,96,174,105,194
627,Johnathan Lewis,43,127,0,0,642,63,8.33,39.78,4.16,79,802,158,183,140,145
628,David R Gilbert,58,89,0,0,582,102,7.8,38,4.84,210,858,148,75,55,74
629,Kevin T Sandher,38,32,0,0,652,107,6,38.67,4.91,403,2007,261,214,100,62
630,Richard O Collinge,72,44,0,1,720,62,5.67,47.72,3.35,139,454,157,43,173,97
631,Sohail Khan,34,109,0,0,725,51,5,37,5.38,676,1206,113,124,265,84
632,Alexander G Wharf,43,50,0,1,569,28,9.5,32.44,4.4,10,397,286,93,135,132
633,Blessing Muzarabani,22,116,0,0,628,89,2,43.67,5.6,95,1120,144,20,180,23
634,Christopher Stewart Martin,44,30,0,0,979,27,1.6,52.67,5.09,653,1581,374,133,312,40
635,Rahat Ali,30,0,0,0,710,37,2.67,37.72,5.81,572,70,44,220,158,32
636,Gegory D Campbell,54,68,0,0,612,19,3,34.06,3.95,295,341,55,271,224,56
637,Asadollah Vala,31,4,2,2,969,596,20.72,40.94,3.66,694,619,51,223,274,153
638,Hrishikesh H Kanitkar,44,127,1,1,1035,512,17.84,59.18,4.79,515,143,374,283,216,135
639,David J Capel,56,104,1,4,1107,479,19.24,61.06,4.65,391,698,229,535,170,145
640,Matthew V Fleming,54,119,0,3,96,137,15.44,30.76,4.98,64,577,422,205,80,199
641,Ellawalakankanamage De Silva,62,14,0,1,1452,241,9.86,80.82,4.22,235,504,237,47,12,85
642,John Nyumbu,33,77,0,1,1044,89,4.6,49.65,5.25,102,73,144,12,484,78
643,Ajmal Shahzad,33,65,0,3,797,60,6.5,34.59,5,432,54,288,180,320,115
644,Roelof E van der Merwe,34,42,0,2,821,41,9.75,41.47,4.77,483,1724,115,171,135,165
645,Peter M Siddle,34,107,0,0,1007,30,10.33,53,4.95,161,907,148,189,78,176
646,Adeel Raja,38,38,0,0,775,139,2.8,49.76,4.89,486,704,176,177,88,25
647,Paththamperuma Arachchige Don Lakshan Rangika Sandakan,27,46,0,0,881,77,4.67,49.53,6.51,526,1080,434,354,23,52
648,James O Ngoche,31,83,0,0,675,67,3.57,41.41,3.47,68,963,53,42,44,63
649,Jermaine J C Lawson,37,121,0,0,710,16,6,32.82,5.35,53,746,147,194,257,190
650,Tabraiz Shamsi,29,65,0,0,674,2,0,40.41,5.41,395,234,197,46,5,-3
651,Ramnaresh R Sarwan,38,85,38,58,758,7663,42.68,36.31,6.05,334,226,336,5713,245,357
652,Stuart Matsikenyeri,35,124,13,18,1143,3072,22.02,57.5,5.07,36,429,193,2196,97,196
653,Michael P Vaughan,44,79,16,13,818,2898,27.15,49.75,4.89,161,911,199,1869,130,206
654,Asif Iqbal,75,126,5,1,575,466,55,37,3.83,86,204,86,720,116,257
655,Aizaz Khan,25,74,0,8,702,374,20,45.5,5.6,266,1155,113,217,110,151
656,George R Codrington,52,56,0,3,834,372,19.67,45.69,4.74,103,1196,123,348,350,144
657,Shaul H U Karnain,56,94,0,3,526,386,19.08,39.69,4.77,340,528,90,430,288,137
658,Mohammad Nawaz,24,48,1,3,835,213,22.11,42.19,5.18,169,2039,11,223,359,196
659,Vijay R R Bhardwaj,43,110,0,1,251,194,27.2,23.25,4.95,566,943,38,276,50,183
660,Rodney J Trott,31,97,0,0,777,249,21.67,33.56,4.6,102,584,16,126,140,132
661,Max C Sorensen,33,137,0,3,504,0,0,0,0,0,0,90,62,147,177
662,Con de Wet de Lange,38,17,0,1,878,0,0,0,0,0,0,109,107,147,146
663,Paul J C  Hoffmann,49,92,0,6,633,69,7.73,46.44,4.48,429,14,0,120,34,203
664,Balwinder S Sandhu,62,65,0,1,1085,97,12.75,69.38,4.12,452,410,620,26,104,94
665,Gary J Gilmour,10,20,0,0,200,39,42,20,3.09,615,457,24,218,29,285
666,James L Pattinson,28,138,0,0,585,80,10.5,45.44,5.62,192,647,251,87,140,98
667,Ehsan Nawaz,23,91,0,0,525,87,5,32.06,5.35,20,1417,181,139,93,62
668,Zakir Khan,55,23,0,0,513,63,27,40.38,4.59,686,881,23,20,3,127
669,Scott M Boland,29,57,0,0,787,22,3,44.75,6.08,302,1247,62,28,476,58
670,Devon E Malcolm,56,72,0,0,374,11,3,32.88,4.61,383,751,125,96,99,134
671,Reece J W Topley,25,90,0,0,479,40,7,28.94,5.31,5,1341,306,80,178,44
672,Sandeep M Patil,62,56,9,12,637,1253,24.51,57.6,4.09,739,574,224,1194,54,195
673,Rajin Saleh,35,105,6,3,474,1832,23.93,35.93,5.11,112,1583,94,1026,89,162
674,Luke J Wright,33,93,2,18,992,820,20.2,69.2,5.11,97,499,390,868,482,171
675,Ajay K Sharma,54,69,3,9,1542,469,20.19,76,4.61,53,1956,152,490,129,171
676,Sachith Shanaka Pathirana,29,143,1,5,623,383,25.54,51,5.65,469,1253,155,241,159,189
677,Justin T C Vaughan,51,14,0,0,712,261,18,46.4,4.52,749,1366,234,374,477,134
678,Kenneth H MacLeay,59,53,0,3,1067,170,12.64,57.13,4.38,224,486,604,459,94,144
679,Karsan D Ghavri,68,76,0,0,1342,194,11.4,68.87,4.11,298,1211,256,160,327,99
680,Delyone C Borden,33,76,0,0,470,192,14,27.4,5.72,337,43,94,108,7,113
681,Neil C McGarrell,46,54,0,1,974,98,7.5,57.27,4.76,149,1149,168,79,52,94
682,Christopher T Tremlett,37,58,0,2,729,89,7.14,52.27,5.4,221,293,11,75,69,88
683,Azeem Hafeez,55,114,0,0,415,104,15,47.93,4.89,149,5,240,20,195,91
684,Sandeep Lamichhane,18,143,0,0,312,69,10,21.27,4.18,196,391,409,425,87,119
685,George H O'Brien,34,1,0,1,425,56,5.43,30.4,5.33,320,471,97,150,265,117
686,Geoffrey Dymock,73,30,0,0,893,82,11.67,53.73,3.07,214,251,1,22,21,85
687,Stephen L Boock,67,83,0,0,482,31,15,46.67,4.4,1,365,144,246,33,178
688,Thudellage C B Fernando,38,124,0,0,625,59,7.25,46.67,5.02,204,877,202,206,73,83
689,Paul J W Allott,62,43,0,0,906,25,3.75,54.6,4.04,336,721,317,102,41,93
690,Sheldon S Cottrell,29,110,0,0,401,24,7,25.87,6.22,324,512,61,115,228,106
691,Danish Kaneria,38,123,0,0,944,22,6,56.93,4.8,487,2701,20,44,353,84
692,Laxman Sivaramakrishnan,53,53,0,0,690,24,2.5,50.4,4.27,27,513,448,252,39,22
693,Uda Walawwe Mahim Bandaralage Chanaka Asanga Welegedara,37,106,0,0,642,9,4,30.47,5.68,438,409,114,3,39,76
694,Oshane Romaine Thomas,22,106,0,0,142,5,0,22.87,7.22,0,74,332,254,20,4
695,Shivnarine Chanderpaul,44,61,59,85,919,12405,41.6,52.86,5.16,195,765,266,9114,286,412
696,Dinesh Mongia,41,75,4,8,806,1721,27.95,45.71,5.35,461,737,132,1039,146,192
697,Farhaan Behardien,35,82,6,25,723,1097,30.69,53.43,5.77,416,29,280,1104,98,235
698,Anshuman Rath,21,143,7,9,598,1080,51.75,24.07,2.97,41,1366,72,782,527,277
699,Upul Chandika Hathurusingha,50,134,4,0,1150,1318,20.91,68.14,4.46,162,1061,369,982,144,120
700,Gregory Scott Blewett,47,28,2,3,923,889,20.41,53.5,5.17,1,852,27,659,594,140
701,Janeiro J Tucker,43,46,1,7,826,732,19.84,58.5,5.14,216,9,41,671,157,143
702,James W M Dalrymple,38,133,2,3,917,672,19.48,60,4.76,159,511,92,380,230,148
703,Michael A Leask,28,149,3,16,752,399,24.17,68.71,5.49,144,886,170,302,74,213
704,Garry J Cosier,65,57,1,2,261,166,30.8,29.21,3.64,242,73,1,209,91,228
705,David E Bernard,37,18,0,0,487,219,14.1,44.57,5.06,734,628,144,218,111,126
706,Suhrawadi Shuvo,30,54,0,1,853,135,14,54.43,4.5,738,806,83,40,132,133
707,Shem O Ngoche,29,0,0,3,570,141,8.67,52.64,4.73,78,380,200,194,285,92
708,Johann D Nel,38,58,0,0,1063,54,15.5,52.14,5.33,152,866,256,16,144,115
709,Rumman Raees,27,52,0,0,697,24,9,33.07,6.01,570,74,34,48,215,193
710,Joseph O Angara,47,34,0,0,809,64,3.83,42,5.81,93,185,233,158,223,56
711,Enamul Haque,32,77,0,0,585,19,3,41.14,4.4,377,1145,32,248,197,95
712,John A Snow,77,34,0,0,740,41,4.5,38.43,2.59,161,658,202,15,191,40
713,Jalaluddin,59,46,0,0,178,5,2.5,21.86,4.14,422,930,26,153,552,167
714,Iain E O'Brien,42,61,0,0,451,11,10.52,32.36,6.46,185,781,32,27,30,62
715,Tom L W Cooper,32,65,8,4,620,1391,48.8,42.54,4.75,282,680,96,913,154,247
716,Majid Khan,72,106,7,6,593,1052,37.43,50.62,3.41,500,1574,245,885,120,220
717,Peter Willey,69,68,5,0,1027,855,23.39,79.31,3.84,83,79,156,530,167,137
718,Darren J Reekers,45,107,0,6,419,411,25.32,39.23,5.13,52,0,0,0,0,249
719,Minhajul Abedin,53,79,2,0,474,909,18.88,42,5.62,261,835,101,587,47,121
720,Adrian D Mascarenhas,41,145,1,13,871,257,22.27,63.23,4.63,197,418,145,32,134,187
721,Ijaz Faqih,62,27,0,0,989,351,12.31,85.85,4.4,608,556,331,432,183,82
722,Suresh A Perera,41,57,1,3,487,257,17.73,44.54,5.41,372,1098,123,210,148,153
723,Mohammad Hussain,42,31,0,4,679,136,30.8,51.69,4.88,229,212,74,161,69,240
724,Mahawaduge Dilruwan Kamalaneth Perera,36,31,0,3,512,199,12.67,35.08,5.38,628,1956,115,233,59,145
725,Sompal Kami,23,51,1,5,378,164,36.5,23.15,4.92,267,2330,170,39,358,237
726,Jeremy N Snape,45,106,0,0,758,173,29.5,40.69,4.57,235,21,147,63,493,171
727,Martin P Bicknell,50,128,0,1,538,104,24,31.77,5.04,293,1000,209,26,130,201
728,Johannes J van der Wath,40,67,0,8,777,70,14.83,40.46,6.29,354,1695,317,108,143,227
729,Alei Nao,25,98,0,3,270,80,42.5,43,4.67,37,179,177,46,315,267
730,John B Reva,28,76,0,2,368,83,10.33,31.15,5.29,52,41,100,71,357,137
731,Matthew N Hart,46,15,0,1,803,101,7.63,44,3.91,156,1952,455,374,46,102
732,Sylvester T Clarke,4,85,0,3,640,58,10,40.31,2.81,288,286,102,67,102,183
733,Keith D Boyce,11,47,0,0,459,77,14.25,36.15,4,28,88,209,255,300,144
734,Sanjayan Thuraisingam,49,20,0,1,410,108,6.43,32.38,4.35,499,491,104,110,185,76
735,Peter Connell,37,31,0,1,686,73,20,43.38,5.51,575,1073,144,405,482,124
736,Jhye Avon Richardson,22,125,0,0,171,63,9.75,30.92,5.72,721,511,49,303,32,117
737,Salil A Ankola,51,116,0,1,539,42,3.78,62.08,4.57,242,966,139,239,355,112
738,Tareq Aziz,35,48,0,0,428,73,26,35.77,5.47,642,665,203,104,127,115
739,Ryan S Higgins,30,59,0,0,576,63,2.5,41.85,4.19,309,1046,199,172,97,32
740,Stefan K W Kelly,30,21,0,0,82,31,10.52,29.92,5.72,561,506,42,48,117,92
741,Christopher B Sole,25,62,0,0,595,28,2.25,28.77,4.46,28,1593,215,179,132,51
742,Paul Wilson,47,4,0,0,660,13,1.33,43.23,4.8,135,74,124,288,432,38
743,Mohammad Azharuddin,56,131,58,77,395,12670,36.92,46,5.21,554,203,184,9571,118,407
744,Damien R Martyn,47,75,37,23,799,6877,40.81,66.17,5.32,257,584,236,5334,273,324
745,Alistair D R Campbell,46,109,30,44,441,7833,30.5,42.42,5.12,922,760,155,5186,289,293
746,Cameron L White,35,139,11,45,382,2586,33.97,27.58,6.36,77,187,244,2084,398,256
747,Aftab Ahmed,33,64,14,49,858,2362,24.73,61.58,5.33,68,1279,1,1865,40,211
748,Rahmat Shah,25,148,13,19,498,2536,36.51,34.67,5.91,509,808,106,1930,77,241
749,Jesse Daniel Ryder,34,131,6,38,167,1429,33.22,33.92,6.07,56,995,119,1481,459,260
750,Travis M Head,25,57,10,16,880,1414,34.41,63.75,5.78,443,1142,148,1308,225,231
751,Stuart G Law,50,56,7,8,818,1643,26.89,67.25,4.72,711,1266,273,1309,367,184
752,Ryan R Watson,42,114,6,10,908,1286,30.84,47.5,5.56,465,727,55,1189,256,201
753,Khurram Khan,47,41,3,2,530,725,41.57,41.5,5.2,33,1448,121,453,119,231
754,Iain P Butchart,58,4,1,1,649,395,18,58.5,5.47,622,790,531,110,43,127
755,Stuart Robert Thompson,27,26,0,3,360,251,16.29,46.58,5.26,464,1816,56,202,141,170
756,Gregory A Lamb,37,88,0,1,806,381,17.91,53.5,4.36,263,569,128,157,62,108
757,Andrew M Ellis,36,131,0,2,167,183,13.91,40,5.31,205,410,137,74,317,156
758,Christopher M Kuggeleijn,62,59,0,1,672,223,15.78,68.08,4.44,528,522,111,167,89,112
759,Rory K Kleinveldt,35,98,0,2,485,124,15,42.75,5.24,720,1041,54,17,405,160
760,Richard M Ellison,59,34,0,1,660,110,10.75,58,4.4,774,415,406,232,200,131
761,Peter W E Rawson,61,34,0,1,593,123,16,47.58,4.49,130,2707,92,93,425,130
762,Richard G Petrie,51,76,0,0,481,109,13,55,4.08,287,179,167,69,223,107
763,W Dorakanti Balaji Rao,40,60,0,1,249,89,7.38,39.5,5.67,235,1050,85,3,347,110
764,Matthew A Parker,29,143,0,0,455,104,9.83,34.5,4.74,641,41,98,262,138,107
765,Andrew James Tye,32,13,0,2,468,48,14.25,32.25,6.08,233,976,103,8,314,216
766,Sharafuddin Ashraf,24,2,0,2,630,84,8.83,49.67,4.17,555,166,52,46,168,103
767,Kalutarage Eric A Upashantha,46,3,0,1,696,86,7,47,5.12,657,615,297,212,47,92
768,Paul J Wiseman,48,0,0,1,856,83,22.5,37.5,4.91,166,1253,30,37,67,130
769,Henderson R Bryan,48,33,0,0,947,71,7.17,60.17,4.3,930,715,440,223,8,89
770,Paul A Hitchcock,44,85,0,1,493,61,10.25,46,5.09,286,730,30,300,432,117
771,Mohammad Iqbal Qasim,65,124,0,0,861,90,6.5,55.33,4.52,235,461,37,17,112,67
772,Hasan Durham,47,143,0,1,296,105,8.75,33.33,5.15,176,68,35,254,64,65
773,Rodney J McCurdy,59,129,0,0,415,0,0,0,0,0,530,214,8,168,82
774,Tafadzwa Kamungozi,31,62,0,0,676,55,5.4,53,5.17,500,775,113,64,518,68
775,Ashok B Dinda,34,86,0,0,565,36,4.2,49.5,6.18,362,1404,382,50,522,82
776,Asanka Manjula Guruge,38,99,0,0,216,29,10.52,29.25,5.76,744,184,189,32,28,107
777,Ahsan Malik,29,89,0,0,144,27,10.52,39.25,5.2,56,852,378,228,88,94
778,Kabir Khan,44,130,0,0,403,25,10,30.92,4.9,341,76,159,143,185,82
779,Parth A Desai,28,104,0,0,682,56,2.67,51,4.75,185,733,99,158,232,11
780,Alan G Hurst,68,28,0,0,600,19,10.52,33.5,3.03,259,210,116,14,153,80
781,Juan Theron,33,32,0,0,147,5,5,16.17,5.35,237,532,214,303,79,171
782,Ricardo L Powell,40,81,8,75,444,2157,24.82,43,6.23,247,1117,18,1932,183,247
783,Thilan Thusara Samaraweera,42,67,0,0,724,1244,27.81,63.82,4.63,244,1166,27,604,238,168
784,Daan L S van Bunge,36,44,3,15,263,953,21.1,30.09,5.96,438,1401,36,785,190,163
785,Rodney T Latham,57,129,1,1,589,1008,20.1,40.91,5.15,156,350,10,680,292,137
786,Naimuir Rahman,44,134,0,5,952,771,19.52,99.45,4.96,103,155,69,758,72,106
787,Mosaddeck Hossain,23,143,1,6,597,436,31,49.27,5.03,117,777,232,355,582,188
788,Collis L King,67,44,1,8,565,267,23.33,67.64,4.27,202,2372,45,630,15,201
789,Simi Singh,32,22,0,4,552,267,15.9,42.55,3.68,559,389,62,214,101,121
790,Rikki Clarke,37,103,0,1,350,233,11.08,42.73,5.3,67,293,1,12,75,112
791,Keemo Mandela Angus Paul,21,84,0,5,227,154,16.43,46.18,0,0,330,16,364,154,142
792,Haseeb Amjad,31,27,0,8,329,85,22.4,31.09,0,0,450,15,19,95,262
793,Derek R Parry,64,106,0,0,611,77,15.25,30,4.71,20,1102,338,260,118,157
794,Michael F Malone,68,121,0,0,871,63,9,55.64,3.09,243,239,275,111,76,97
795,Mpumelelo Mbangwa,42,18,0,1,1470,56,4.86,124.45,5,383,2326,235,132,161,44
796,Atul S Wassan,50,70,0,0,818,56,8.25,38.73,3.99,21,238,213,52,350,99
797,Amir Hayat,21,108,0,1,509,73,10.33,40.82,5.1,262,410,117,65,54,79
798,Thomas Barclay Sole,22,70,0,0,531,27,10.33,35.45,5.74,305,723,278,128,185,199
799,Dean W Headley,49,45,0,0,750,49,11,54,5.25,393,840,187,69,219,75
800,Shafiuddin Ahmed,45,115,0,0,505,66,5.5,45,5.16,325,462,11,18,19,49
801,Hedley J Howarth,7,30,0,0,682,26,6,44.73,3.41,376,807,22,95,166,111
802,Peter Lever,78,8,0,0,268,24,17,40,3.56,608,156,162,26,504,141
803,Richard L Johnson,44,10,0,1,570,20,5.33,36.55,3.57,363,1036,0,9,13,130
804,Harry F Gurney,32,47,0,0,403,33,7.5,41.36,5.7,382,1383,38,157,179,76
805,Albert van der Merwe,39,78,0,1,461,25,3.75,39.27,4.49,16,805,291,135,250,90
806,Ashley A Mallett,73,128,0,0,550,36,7,45.64,4.08,21,969,157,28,516,63
807,Aamir Nazir,48,131,0,0,477,20,13,37.91,4.98,63,381,158,89,204,122
808,Lionel S Baker,34,25,0,0,527,23,6.5,38.73,5,357,618,81,78,508,94
809,Heath Te-Ihi-O-Te-Ra Davis,47,20,0,0,587,33,6.5,39.27,6.06,358,318,12,93,137,63
810,Nilesh M Kulkarni,45,44,0,0,487,20,5.5,36.55,5.33,161,1644,316,262,443,89
811,Anthony Martin,36,148,0,0,574,29,10,40.36,4,0,0,0,88,158,66
812,Khaleel Khursheed Ahmed,21,82,0,0,103,17,4.5,34.36,5.37,673,453,182,331,178,83
813,Varun R Aaron,29,56,0,0,520,15,8,34.55,6.62,162,107,225,12,65,92
814,Everton Matambanadzo,42,18,0,0,275,33,4,27,4.38,272,691,224,2,39,41
815,Rajab W Ali,53,145,0,0,542,28,10.52,30.73,4.53,66,30,115,85,21,58
816,Monde Zondeki,36,12,0,0,711,5,4,50.73,5.42,411,952,278,102,214,118
817,Kenneth Robert Rutherford,53,102,18,17,256,4888,29.65,38.9,4.98,294,373,5,3046,559,231
818,Michael William Gatting,61,12,9,11,507,2968,29.51,39.2,5.14,364,1504,111,2339,58,216
819,Malcolm Noel Waller,34,50,5,12,413,1639,19.08,66.6,5.1,829,296,281,1335,180,161
820,Haris Sohail,30,50,10,14,604,1175,43.64,52.8,5.72,532,314,193,868,120,240
821,Irvine H Romaine,46,117,4,16,167,1220,25.26,32.6,6.53,329,226,158,713,178,173
822,Dhananjaya Maduranga de Silva,27,66,4,8,760,741,26.95,51.6,5.4,352,904,75,506,403,184
823,Robert J Nicol,35,98,2,13,246,776,30.84,33.9,5.82,330,234,8,508,34,202
824,David J Callaghan,54,13,0,5,570,726,25.95,44.4,4.93,29,1488,386,475,317,165
825,Hiral Patel,27,95,2,8,380,585,21.27,40.9,5.18,61,189,2,356,2,174
826,Sanwar Hossain,45,21,1,0,434,597,11.6,38.3,5.12,333,271,243,247,86,97
827,Mark W Alleyne,50,7,1,1,436,255,21.57,36.6,4.59,404,1995,166,173,148,138
828,Dulip K Liyanage,46,43,0,1,444,207,16,64.2,4.77,23,794,119,100,15,123
829,Ziaur Rahman,32,131,0,6,495,110,11.27,39,4.63,253,1366,104,124,424,194
830,Todd Duncan Astle,32,123,0,2,65,77,26.33,27,5.47,97,938,129,76,38,223
831,Nigel G Jones,36,0,0,0,390,102,14.8,38.9,3.61,527,279,375,282,105,141
832,Michael J Rippon,27,74,1,1,290,112,23.67,25.2,3.98,285,188,251,72,8,158
833,Jeffrey Dexter Francis Vandersay,29,46,0,0,435,166,11.83,44.9,5.75,706,153,295,3,232,79
834,Mohammed Sharif,33,13,0,0,655,102,13.25,49.9,5.1,279,55,96,84,54,96
835,Austin Codrington,43,105,0,0,53,92,5.88,30,5.3,342,829,94,208,69,88
836,Rajiv R Kulkarni,56,12,0,0,681,39,16.5,44.4,4.66,48,256,177,64,414,159
837,Mohammad Zahid,42,99,0,1,385,22,7.5,51.2,4.58,604,2711,51,124,370,107
838,Gopal Sharma,58,75,0,0,634,24,5.5,48.6,4.46,279,34,308,152,123,64
